customer_id,customer_first_name,customer_last_name,customer_email,customer_phone,customer_city,customer_country,customer_age,customer_gender
1,Brian,Parker,brian.parker@gmail.com,990.423.1856x4527,Whitefort,England,64,Male
2,Matthew,Williamson,matthew.williamson@hotmail.com,246.314.3940x912,Meltonchester,Scotland,24,Male
3,Theresa,Herman,theresa.herman@gmail.com,+1-585-075-8660x3249,Parkerbury,England,62,Male
4,John,Buchanan,john.buchanan@hotmail.com,359-059-5786,North Ashley,Czechia,31,Female
5,Joy,Cruz,joy.cruz@gmail.com,417-512-2646x5363,Port Mark,Germany,49,Male
6,John,Williams,john.williams@hotmail.com,724.271.3648x113,Terryland,Portugal,40,Female
7,Wendy,Barrett,wendy.barrett@yahoo.com,001-535-608-3917,Toddstad,Poland,22,Female
8,Joshua,Singh,joshua.singh@gmail.com,(794)498-5021x5572,West Maria,Ireland,56,Female
9,Marilyn,Little,marilyn.little@hotmail.com,(429)133-8029,Carloston,Ireland,50,Female
10,Deborah,Stewart,deborah.stewart@gmail.com,001-952-721-2638x180,New Perrybury,Spain,43,Male
11,Matthew,Little,matthew.little@gmail.com,001-670-118-4161x139,Port Donald,Germany,65,Male
12,John,Anderson,john.anderson@gmail.com,270-115-9246,Andersonmouth,France,33,Female
13,Jonathan,Smith,jonathan.smith@hotmail.com,4178640593,Brownbury,Poland,40,Female
14,Colleen,Deleon,colleen.deleon@gmail.com,(990)036-4186x9849,New Nicholasmouth,England,48,Female
15,Keith,Ramos,keith.ramos@gmail.com,1597282078,Derrickport,Germany,59,Male
16,Rachel,Hanna,rachel.hanna@gmail.com,(918)161-2217x781,North Zachary,Germany,26,Male
17,Carly,Rivas,carly.rivas@hotmail.com,0368611371,South Matthew,England,28,Female
18,Craig,Adams,craig.adams@yahoo.com,+1-814-386-2314x0548,Michelletown,England,52,Female
19,Courtney,Thompson,courtney.thompson@gmail.com,(718)999-5753x21468,North Rebecca,Italy,28,Male
20,Ethan,Chapman,ethan.chapman@yahoo.com,001-694-300-0750,Ericbury,England,37,Female
21,Brenda,Hernandez,brenda.hernandez@gmail.com,083.343.3750x10638,North Jessica,Spain,19,Male
22,Brandon,Barnes,brandon.barnes@gmail.com,+1-216-676-7081x674,South Heather,Scotland,63,Male
23,Jon,Mosley,jon.mosley@yahoo.com,169-066-0866,North Brooke,Ireland,34,Female
24,Jeffrey,Gross,jeffrey.gross@yahoo.com,642.660.3775,New Miguel,Portugal,56,Female
25,Tracey,Cannon,tracey.cannon@gmail.com,575.220.4182,East Tiffanyhaven,Northern Ireland,60,Female
26,Brenda,Martinez,brenda.martinez@gmail.com,+1-965-531-7377x327,New Kelly,England,55,Male
27,Angel,Collins,angel.collins@gmail.com,+1-093-187-0573,Lesliestad,Poland,37,Male
28,Amy,Peterson,amy.peterson@hotmail.com,966.871.5059x8641,South Alexandraburgh,Spain,38,Female
29,Kayla,Wilson,kayla.wilson@gmail.com,(213)423-2034,Jasonborough,Scotland,29,Male
